Instrument family	Instrument ID	Instrument Name	Link
Ensemble	53	Voice Oohs	http://commons.wikimedia.org/wiki/File:RadioRock2.jpg
Ensemble	54	Synth Voice	http://commons.wikimedia.org/wiki/File:Alte_Frau.jpg
Ensemble	55	Orchestra Hit	http://commons.wikimedia.org/wiki/File:Civic_Orchestra_of_Chicago_terrace_view.jpg
Brass	56	Trumpet	http://commons.wikimedia.org/wiki/File:Trumpet_imgp8944crop.jpg
Brass	57	Trombone	http://commons.wikimedia.org/wiki/File:Trombone_CG_Bach42AG.jpg
Brass	58	Tuba	http://commons.wikimedia.org/wiki/File:Frenchtuba.jpg
Brass	59	Muted Trumpet	http://commons.wikimedia.org/wiki/File:020122-N-5972C-003_Trumpet_Player.jpg
Brass	60	French Horn	http://commons.wikimedia.org/wiki/File:0B6X7973_(8200672306).jpg
Brass	61	Brass Section	http://commons.wikimedia.org/wiki/File:DSC_3201_(5740810247).jpg
Brass	62	Synth Brass 1	http://commons.wikimedia.org/wiki/File:0B6X8795_(8271784349).jpg
Brass	63	Synth Brass 2	http://commons.wikimedia.org/wiki/File:Degas_l%27orchestre.jpg
Reed	64	Soprano Sax	http://commons.wikimedia.org/wiki/File:Soprillo_Saxophone.jpg
Reed	65	Alto Sax	http://commons.wikimedia.org/wiki/File:Sax1.JPG
Reed	66	Tenor Sax	http://commons.wikimedia.org/wiki/File:Yamaha_Custom_Z_Tenor_Saxophones,_NAMM_2013.jpg
Reed	67	Baritone Sax	http://commons.wikimedia.org/wiki/File:PepperAdamsFrance78.jpg
Reed	68	Oboe	http://commons.wikimedia.org/wiki/File:Oboe-player.jpg
Reed	69	English Horn	http://commons.wikimedia.org/wiki/File:English_Horn_picture.jpg
Reed	70	Bassoon	http://commons.wikimedia.org/wiki/File:Hermann_Kern_Der_Fagottist.jpg
Reed	71	Clarinet	http://commons.wikimedia.org/wiki/File:Aflat_clarinet_001.jpg
Pipe	72	Piccolo	http://commons.wikimedia.org/wiki/File:Fasnachtspiccolo.jpg
Pipe	73	Flute	http://commons.wikimedia.org/wiki/File:Hans-Martin_M%C3%BCller_(Rhenania_140105)_(Annamarie_Ursula)_P1120356.JPG
Pipe	74	Recorder	http://commons.wikimedia.org/wiki/File:Zobcove_fletny.jpg
Pipe	75	Pan Flute	http://commons.wikimedia.org/wiki/File:Petruta_K%C3%BCpper_2010.jpg
Pipe	76	Blown Bottle	http://commons.wikimedia.org/wiki/File:Cocacola_bottle.jpg
Pipe	77	Shakuhachi	http://commons.wikimedia.org/wiki/File:Shakuhachi_near_a_white_wall.jpg
Pipe	78	Whistle	http://commons.wikimedia.org/wiki/File:Tin_whistles.jpg
Pipe	79	Ocarina	http://commons.wikimedia.org/wiki/File:Concertocarina.jpg
Synth Lead	80	Lead 1 (square)	http://commons.wikimedia.org/wiki/File:Oscilloscope_sine_square.jpg
Synth Lead	81	Lead 2 (sawtooth)	http://commons.wikimedia.org/wiki/File:Fairlight.JPG
Synth Lead	82	Lead 3 (calliope)	http://commons.wikimedia.org/wiki/File:Callioflute-Hydraulophone.jpg
Synth Lead	83	Lead 4 (chiff)	http://commons.wikimedia.org/wiki/File:Cinemaaustralia.jpg
Synth Lead	84	Lead 5 (charang)	http://commons.wikimedia.org/wiki/File:Halloween_organ_2009.jpg
Synth Lead	85	Lead 6 (voice)	http://commons.wikimedia.org/wiki/File:Singers_(308025204).jpg
Synth Lead	86	Lead 7 (fifths)	http://commons.wikimedia.org/wiki/File:Wikikirc.jpeg
Synth Lead	87	Lead 8 (bass + lead)	http://commons.wikimedia.org/wiki/File:99cyborg2.jpg
Synth Pad	88	Pad 1 (new age)	http://commons.wikimedia.org/wiki/File:Gong_chimes.jpg
Synth Pad	89	Pad 2 (warm)	http://commons.wikimedia.org/wiki/File:Dementia_Labs_Plasmasound.jpg
Synth Pad	90	Pad 3 (polysynth)	http://en.wikipedia.org/wiki/File:Oberheim_4_voice.jpg
Synth Pad	91	Pad 4 (choir)	http://commons.wikimedia.org/wiki/File:AdolfFredriksGirlsChoir_june2007.jpg
Synth Pad	92	Pad 5 (bowed)	http://commons.wikimedia.org/wiki/File:%22Zelowskie_Dzwonki%22_(8130634588).jpg
Synth Pad	93	Pad 6 (metallic)	http://commons.wikimedia.org/wiki/File:Glass.harmonica.in.rome.arp.jpg
Synth Pad	94	Pad 7 (halo)	http://commons.wikimedia.org/wiki/File:Christ_Church_Cathedral_(Falkland_Islands)_windows.jpg
Synth Pad	95	Pad 8 (sweep)	http://commons.wikimedia.org/wiki/File:Anthony_inglis_conducting_melbourne_symphony_orchestra.jpg
Synth Effects	96	FX 1 (rain)	http://commons.wikimedia.org/wiki/File:Rainstick_01.png
Synth Effects	97	FX 2 (soundtrack)	http://commons.wikimedia.org/wiki/File:Neve_VR-72_with_FF_at_Studio_1_Control_Room_Left_Quarter.jpg
Synth Effects	98	FX 3 (crystal)	http://commons.wikimedia.org/wiki/File:Kawai_CR-40A.jpg
Synth Effects	99	FX 4 (atmosphere)	http://commons.wikimedia.org/wiki/File:Tanghetto-Pianist.jpg
Synth Effects	100	FX 5 (brightness)	http://commons.wikimedia.org/wiki/File:Korg_MS-20.jpg
Synth Effects	101	FX 6 (goblins)	http://commons.wikimedia.org/wiki/File:ThomasBlochHandsGlassharmonica_low_notes_on_left_and_high_notes_on_right.jpg
Synth Effects	102	FX 7 (echoes)	http://commons.wikimedia.org/wiki/File:Inside_chapter_house.jpg
Synth Effects	103	FX 8 (sci-fi)	http://commons.wikimedia.org/wiki/File:Saturn_during_Equinox.jpg
Ethnic	104	Sitar	http://commons.wikimedia.org/wiki/File:Sitar_player.jpg
Ethnic	105	Banjo	http://commons.wikimedia.org/wiki/File:Encore_mechanical_banjo_-_Bayernhof_Museum_-_DSC06271.JPG
Ethnic	106	Shamisen	http://commons.wikimedia.org/wiki/File:Tsukioka_Yoshitoshi_-_Looking_as_if_she_is_enjoying_herself_-_a_teacher_of_the_Keisei_era.jpg
Ethnic	107	Koto	http://commons.wikimedia.org/wiki/File:Seattle_Bunka_No_Hi_-_koto_02.jpg
Ethnic	108	Kalimba	http://commons.wikimedia.org/wiki/File:Kalimba,_wood.jpg
Ethnic	109	Bagpipe	http://commons.wikimedia.org/wiki/File:Bagpipe.jpg
Ethnic	110	Fiddle	http://commons.wikimedia.org/wiki/File:MNfiddles.jpg
Ethnic	111	Shanai	http://commons.wikimedia.org/wiki/File:Music_ensemble_of_benares_1983_hp5_009.jpg
Percussive	112	Tinkle Bell	http://commons.wikimedia.org/wiki/File:Bell2.jpg
Percussive	113	Agogo	http://commons.wikimedia.org/wiki/File:Modern-Agogo.jpg
Percussive	114	Steel Drums	http://commons.wikimedia.org/wiki/File:Aasteeldrum.jpg
Percussive	115	Woodblock	http://commons.wikimedia.org/wiki/File:Dos_bloques.JPG
Percussive	116	Taiko Drum	http://commons.wikimedia.org/wiki/File:Miya_Daiko_drum_-_Taiko_drums.jpg
Percussive	117	Melodic Tom	http://commons.wikimedia.org/wiki/File:Tom-tom_12x8.jpg
Percussive	118	Synth Drum	http://commons.wikimedia.org/wiki/File:Yamaha_DD-65_Digital_Drum_Kit.jpg
Percussive	119	Reverse Cymbal	http://commons.wikimedia.org/wiki/File:WTB_Cymbals.jpg
Sound Effects	120	Guitar Fret Noise	http://commons.wikimedia.org/wiki/File:Broken_strings.jpg
Sound Effects	121	Breath Noise	http://commons.wikimedia.org/wiki/File:Boy_blowing_at_a_Typha_latifolia_seed_head.jpg
Sound Effects	122	Seashore	http://commons.wikimedia.org/wiki/File:National_seashore.jpg
Sound Effects	123	Bird Tweet	http://commons.wikimedia.org/wiki/File:Ekahau_BlueBird.jpg
Sound Effects	124	Telephone Ring	http://commons.wikimedia.org/wiki/File:Hungarian_Telephone_Factory_1937_Budapest.jpg
Sound Effects	125	Helicopter	http://commons.wikimedia.org/wiki/File:US_Navy_030408-N-4729H-055_The_blades_of_an_HH-60H_Seahawk_helicopter_makes_swirls_in_the_air_as_is_prepares_to_land_on_the_command_ship_USS_La_Salle_(AGF_3).jpg
Sound Effects	126	Applause	http://commons.wikimedia.org/wiki/File:Wahlkampfauftakt_der_SP%C3%96_(2809513280).jpg
Sound Effects	127	Gunshot	http://commons.wikimedia.org/wiki/File:BME_RattleSnake_(1983)_Parametric_Percussion_System.jpg
